k, $d_k(M)$
0, 1
1, 6
2, 20
3, 46
4, 77
5, 104
6, 123
7, 124
8, 124
9, 124
10, 124
11, 124
12, 124
13, 124
14, 124
15, 124
16, 124
17, 124
18, 124
19, 124
20, 124
21, 124
22, 124
23, 124
24, 124
25, 124
26, 124
27, 124
28, 124
29, 124
30, 124
31, 124
32, 124
33, 124
34, 124
35, 124
36, 124
37, 124
38, 124
39, 124
40, 124
41, 124
42, 124
43, 124
44, 124
45, 124
46, 124
47, 124
48, 124
49, 124
50, 124
51, 124
52, 124
53, 124
54, 124
55, 124
56, 124
57, 124
58, 124
59, 124
60, 124
61, 124
62, 124
63, 124
64, 124
65, 124
66, 124
67, 124
68, 124
69, 124
70, 124
71, 124
72, 124
73, 124
74, 124
75, 124
76, 124
77, 124
78, 124
79, 124
80, 124
81, 124
82, 124
83, 124
84, 124
85, 124
86, 124
87, 124
88, 124
89, 124
90, 124
91, 124
92, 124
93, 124
94, 124
95, 124
96, 124
97, 124
98, 124
99, 124
100, 124
