k, $d_k(M)$
0, 1
1, 4
2, 10
3, 20
4, 34
5, 51
6, 69
7, 87
8, 105
9, 122
10, 139
11, 156
12, 173
13, 190
14, 205
15, 215
16, 219
17, 219
18, 219
19, 219
20, 219
21, 219
22, 219
23, 219
24, 219
25, 219
26, 219
27, 219
28, 219
29, 219
30, 219
31, 219
32, 219
33, 219
34, 219
35, 219
36, 219
37, 219
38, 219
39, 219
40, 219
41, 219
42, 219
43, 219
44, 219
45, 219
46, 219
47, 219
48, 219
49, 219
50, 219
51, 219
52, 219
53, 219
54, 219
55, 219
56, 219
57, 219
58, 219
59, 219
60, 219
61, 219
62, 219
63, 219
64, 219
65, 219
66, 219
67, 219
68, 219
69, 219
70, 219
71, 219
72, 219
73, 219
74, 219
75, 219
76, 219
77, 219
78, 219
79, 219
80, 219
81, 219
82, 219
83, 219
84, 219
85, 219
86, 219
87, 219
88, 219
89, 219
90, 219
91, 219
92, 219
93, 219
94, 219
95, 219
96, 219
97, 219
98, 219
99, 219
100, 219
