k, $d_k(M)$
0, 1
1, 3
2, 6
3, 10
4, 15
5, 21
6, 28
7, 36
8, 45
9, 55
10, 66
11, 78
12, 90
13, 102
14, 114
15, 126
16, 138
17, 150
18, 162
19, 174
20, 186
21, 197
22, 207
23, 215
24, 222
25, 228
26, 233
27, 237
28, 240
29, 242
30, 243
31, 243
32, 243
33, 243
34, 243
35, 243
36, 243
37, 243
38, 243
39, 243
40, 243
41, 243
42, 243
43, 243
44, 243
45, 243
46, 243
47, 243
48, 243
49, 243
50, 243
51, 243
52, 243
53, 243
54, 243
55, 243
56, 243
57, 243
58, 243
59, 243
60, 243
61, 243
62, 243
63, 243
64, 243
65, 243
66, 243
67, 243
68, 243
69, 243
70, 243
71, 243
72, 243
73, 243
74, 243
75, 243
76, 243
77, 243
78, 243
79, 243
80, 243
81, 243
82, 243
83, 243
84, 243
85, 243
86, 243
87, 243
88, 243
89, 243
90, 243
91, 243
92, 243
93, 243
94, 243
95, 243
96, 243
97, 243
98, 243
99, 243
100, 243
