k, $d_k(M)$
0, 1
1, 5
2, 15
3, 32
4, 51
5, 68
6, 85
7, 102
8, 119
9, 136
10, 153
11, 170
12, 187
13, 204
14, 221
15, 237
16, 244
17, 244
18, 244
19, 244
20, 244
21, 244
22, 244
23, 244
24, 244
25, 244
26, 244
27, 244
28, 244
29, 244
30, 244
31, 244
32, 244
33, 244
34, 244
35, 244
36, 244
37, 244
38, 244
39, 244
40, 244
41, 244
42, 244
43, 244
44, 244
45, 244
46, 244
47, 244
48, 244
49, 244
50, 244
51, 244
52, 244
53, 244
54, 244
55, 244
56, 244
57, 244
58, 244
59, 244
60, 244
61, 244
62, 244
63, 244
64, 244
65, 244
66, 244
67, 244
68, 244
69, 244
70, 244
71, 244
72, 244
73, 244
74, 244
75, 244
76, 244
77, 244
78, 244
79, 244
80, 244
81, 244
82, 244
83, 244
84, 244
85, 244
86, 244
87, 244
88, 244
89, 244
90, 244
91, 244
92, 244
93, 244
94, 244
95, 244
96, 244
97, 244
98, 244
99, 244
100, 244
